지역,기준일,전일대비 확진자수, 격리 해제수
경기,2021-01-16,168,13949
세종,2021-01-16,1,152
울산,2021-01-16,8,700
대전,2021-01-16,5,851
광주,2021-01-16,6,1150
인천,2021-01-16,33,2885
대구,2021-01-16,23,7731
부산,2021-01-16,61,1816
서울,2021-01-16,156,16885
검역,2021-01-15,5,1866
제주,2021-01-15,1,445
경남,2021-01-15,22,1399
경북,2021-01-15,23,2370
전남,2021-01-15,14,540
전북,2021-01-15,6,823
충남,2021-01-15,6,1581
충북,2021-01-15,9,1003
강원,2021-01-15,13,1193
경기,2021-01-15,186,13672
세종,2021-01-15,4,149
울산,2021-01-15,6,695
대전,2021-01-15,3,836
광주,2021-01-15,6,1134
인천,2021-01-15,24,2823
대구,2021-01-15,11,7708
부산,2021-01-15,47,1781
서울,2021-01-15,127,16518
검역,2021-01-14,11,1863
제주,2021-01-14,2,436
경남,2021-01-14,16,1370
경북,2021-01-14,18,2345
전남,2021-01-14,6,539
전북,2021-01-14,3,809
충남,2021-01-14,12,1550
충북,2021-01-14,18,964
강원,2021-01-14,11,1193
경기,2021-01-14,171,13472
세종,2021-01-14,2,148
울산,2021-01-14,10,689
대전,2021-01-14,3,833
광주,2021-01-14,31,1101
인천,2021-01-14,25,2726
대구,2021-01-14,11,7687
부산,2021-01-14,40,1743
서울,2021-01-14,134,16304
검역,2021-01-13,3,1689
제주,2021-01-13,1,426
경남,2021-01-13,42,1343
경북,2021-01-13,24,2313
전남,2021-01-13,0,533
전북,2021-01-13,8,789
충남,2021-01-13,5,1431
충북,2021-01-13,11,903
강원,2021-01-13,21,1171
경기,2021-01-13,201,13190
세종,2021-01-13,0,148
울산,2021-01-13,11,676
대전,2021-01-13,9,820
광주,2021-01-13,4,1078
인천,2021-01-13,22,2666
대구,2021-01-13,13,7652
부산,2021-01-13,35,1721
서울,2021-01-13,152,16087
검역,2021-01-12,8,1682
제주,2021-01-12,2,413
경남,2021-01-12,55,1314
경북,2021-01-12,8,2286
전남,2021-01-12,2,530
전북,2021-01-12,12,783
충남,2021-01-12,3,1415
충북,2021-01-12,16,872
강원,2021-01-12,7,1145
경기,2021-01-12,175,12584
세종,2021-01-12,1,147
울산,2021-01-12,7,670
대전,2021-01-12,7,811
광주,2021-01-12,7,1049
인천,2021-01-12,21,2626
대구,2021-01-12,18,7622
부산,2021-01-12,21,1682
서울,2021-01-12,167,15938
검역,2021-01-11,11,1682
제주,2021-01-11,2,399
경남,2021-01-11,13,1260
경북,2021-01-11,4,2259
전남,2021-01-11,3,526
전북,2021-01-11,7,762
충남,2021-01-11,11,1392
충북,2021-01-11,10,824
강원,2021-01-11,11,1105
경기,2021-01-11,147,12348
세종,2021-01-11,0,144
울산,2021-01-11,14,653
대전,2021-01-11,1,798
광주,2021-01-11,24,1028
인천,2021-01-11,22,2589
대구,2021-01-11,11,7590
부산,2021-01-11,19,1659
서울,2021-01-11,141,15534
검역,2021-01-10,14,1682
제주,2021-01-10,4,395
경남,2021-01-10,19,1248
경북,2021-01-10,19,2238
전남,2021-01-10,4,519
전북,2021-01-10,6,760
충남,2021-01-10,30,1385
충북,2021-01-10,9,812
강원,2021-01-10,20,1087
경기,2021-01-10,193,12189
세종,2021-01-10,0,143
울산,2021-01-10,34,613
대전,2021-01-10,4,796
광주,2021-01-10,21,1011
인천,2021-01-10,33,2561
대구,2021-01-10,34,7557
부산,2021-01-10,34,1613
서울,2021-01-10,187,13800
검역,2021-01-09,10,1682
제주,2021-01-09,5,384
경남,2021-01-09,26,1219
경북,2021-01-09,21,2194
전남,2021-01-09,5,516
전북,2021-01-09,14,750
충남,2021-01-09,27,1375
충북,2021-01-09,30,795
강원,2021-01-09,6,1077
경기,2021-01-09,211,11970
세종,2021-01-09,0,138
울산,2021-01-09,8,562
대전,2021-01-09,5,781
광주,2021-01-09,6,1002
인천,2021-01-09,49,2522
대구,2021-01-09,13,7513
부산,2021-01-09,17,1585
서울,2021-01-09,188,13259
검역,2021-01-08,6,1682
제주,2021-01-08,6,366
경남,2021-01-08,22,1199
경북,2021-01-08,30,2170
전남,2021-01-08,0,514
전북,2021-01-08,8,724
충남,2021-01-08,21,1349
충북,2021-01-08,10,767
강원,2021-01-08,11,1046
경기,2021-01-08,258,11826
세종,2021-01-08,0,137
울산,2021-01-08,10,546
대전,2021-01-08,8,772
광주,2021-01-08,21,965
인천,2021-01-08,30,2475
대구,2021-01-08,18,7469
부산,2021-01-08,24,1557
서울,2021-01-08,191,12805
검역,2021-01-07,14,1682
제주,2021-01-07,9,356
경남,2021-01-07,20,1174
경북,2021-01-07,36,2124
전남,2021-01-07,1,511
전북,2021-01-07,2,715
충남,2021-01-07,20,1321
충북,2021-01-07,14,744
강원,2021-01-07,30,1031
경기,2021-01-07,303,11695
세종,2021-01-07,3,136
울산,2021-01-07,9,532
대전,2021-01-07,9,753
광주,2021-01-07,28,959
인천,2021-01-07,41,2412
대구,2021-01-07,10,7439
부산,2021-01-07,23,1522
서울,2021-01-07,298,12543
검역,2021-01-06,6,1681
제주,2021-01-06,5,336
경남,2021-01-06,29,1143
경북,2021-01-06,28,2083
전남,2021-01-06,1,500
전북,2021-01-06,22,702
충남,2021-01-06,24,1287
충북,2021-01-06,21,723
강원,2021-01-06,16,1004
경기,2021-01-06,284,11538
세종,2021-01-06,1,133
울산,2021-01-06,2,525
대전,2021-01-06,9,749
광주,2021-01-06,30,936
인천,2021-01-06,38,2308
대구,2021-01-06,22,7422
부산,2021-01-06,38,1496
서울,2021-01-06,264,12429
검역,2021-01-05,16,1681
제주,2021-01-05,8,313
경남,2021-01-05,21,1110
경북,2021-01-05,24,2045
전남,2021-01-05,4,492
전북,2021-01-05,5,687
충남,2021-01-05,18,1243
충북,2021-01-05,32,698
강원,2021-01-05,27,964
경기,2021-01-05,230,11411
세종,2021-01-05,0,133
울산,2021-01-05,4,510
대전,2021-01-05,8,733
광주,2021-01-05,23,916
인천,2021-01-05,49,2294
대구,2021-01-05,32,7392
부산,2021-01-05,15,1455
서울,2021-01-05,199,12095
검역,2021-01-04,11,1681
제주,2021-01-04,10,287
경남,2021-01-04,33,1089
경북,2021-01-04,25,2003
전남,2021-01-04,3,487
전북,2021-01-04,13,664
충남,2021-01-04,23,1210
충북,2021-01-04,23,676
강원,2021-01-04,28,938
경기,2021-01-04,268,11190
세종,2021-01-04,0,132
울산,2021-01-04,5,498
대전,2021-01-04,6,720
광주,2021-01-04,74,889
인천,2021-01-04,103,2249
대구,2021-01-04,29,7359
부산,2021-01-04,37,1447
서울,2021-01-04,329,11721
검역,2021-01-03,8,1681
제주,2021-01-03,4,276
경남,2021-01-03,12,1079
경북,2021-01-03,14,1959
전남,2021-01-03,12,483
전북,2021-01-03,5,654
충남,2021-01-03,9,1190
충북,2021-01-03,27,655
강원,2021-01-03,33,928
경기,2021-01-03,205,10893
세종,2021-01-03,1,131
울산,2021-01-03,7,490
대전,2021-01-03,8,714
광주,2021-01-03,26,884
인천,2021-01-03,48,2217
대구,2021-01-03,22,7328
부산,2021-01-03,19,1424
서울,2021-01-03,197,11521
검역,2021-01-02,14,1681
제주,2021-01-02,13,246
경남,2021-01-02,37,1060
경북,2021-01-02,20,1926
전남,2021-01-02,11,477
전북,2021-01-02,11,648
충남,2021-01-02,7,1186
충북,2021-01-02,36,638
강원,2021-01-02,31,917
경기,2021-01-02,227,10893
세종,2021-01-02,3,129
울산,2021-01-02,17,473
대전,2021-01-02,4,697
광주,2021-01-02,13,871
인천,2021-01-02,71,2174
대구,2021-01-02,29,7311
부산,2021-01-02,26,1399
서울,2021-01-02,250,10852
검역,2021-01-01,4,1680
제주,2021-01-01,5,219
경남,2021-01-01,35,1041
경북,2021-01-01,24,1904
전남,2021-01-01,6,475
전북,2021-01-01,8,644
충남,2021-01-01,15,1180
충북,2021-01-01,22,629
강원,2021-01-01,30,906
경기,2021-01-01,284,10535
세종,2021-01-01,1,129
울산,2021-01-01,43,457
대전,2021-01-01,11,689
광주,2021-01-01,17,864
인천,2021-01-01,65,2150
대구,2021-01-01,43,7294
부산,2021-01-01,57,1370
서울,2021-01-01,358,10787
검역,2020-12-31,13,1680
제주,2020-12-31,9,198
경남,2020-12-31,22,1007
경북,2020-12-31,23,1874
전남,2020-12-31,5,469
전북,2020-12-31,12,631
충남,2020-12-31,18,1156
충북,2020-12-31,22,608
강원,2020-12-31,36,873
경기,2020-12-31,225,10535
세종,2020-12-31,0,128
울산,2020-12-31,35,439
대전,2020-12-31,7,684
광주,2020-12-31,8,847
인천,2020-12-31,59,2082
대구,2020-12-31,33,7276
부산,2020-12-31,74,1343
서울,2020-12-31,366,10441
검역,2020-12-30,11,1680
제주,2020-12-30,10,192
경남,2020-12-30,36,977
경북,2020-12-30,23,1842
전남,2020-12-30,1,464
전북,2020-12-30,32,607
충남,2020-12-30,27,1143
충북,2020-12-30,45,587
강원,2020-12-30,17,831
경기,2020-12-30,277,10356
세종,2020-12-30,2,127
울산,2020-12-30,16,426
대전,2020-12-30,19,670
광주,2020-12-30,9,833
인천,2020-12-30,48,2039
대구,2020-12-30,51,7236
부산,2020-12-30,39,1300
서울,2020-12-30,387,10125
검역,2020-12-29,5,1680
제주,2020-12-29,5,179
경남,2020-12-29,16,940
경북,2020-12-29,28,1816
전남,2020-12-29,4,462
전북,2020-12-29,8,561
충남,2020-12-29,27,1131
충북,2020-12-29,22,562
강원,2020-12-29,21,808
경기,2020-12-29,256,10144
세종,2020-12-29,4,127
울산,2020-12-29,4,401
대전,2020-12-29,30,658
광주,2020-12-29,15,825
인천,2020-12-29,32,1935
대구,2020-12-29,29,7203
부산,2020-12-29,17,1261
서울,2020-12-29,522,10010
검역,2020-12-28,8,1679
제주,2020-12-28,11,158
경남,2020-12-28,25,892
경북,2020-12-28,46,1800
전남,2020-12-28,7,460
전북,2020-12-28,1,540
충남,2020-12-28,35,1109
충북,2020-12-28,31,548
강원,2020-12-28,27,781
경기,2020-12-28,193,9463
세종,2020-12-28,2,126
울산,2020-12-28,2,380
대전,2020-12-28,3,651
광주,2020-12-28,12,810
인천,2020-12-28,46,1831
대구,2020-12-28,24,7191
부산,2020-12-28,34,1238
서울,2020-12-28,300,9611
검역,2020-12-27,10,1679
제주,2020-12-27,7,148
경남,2020-12-27,44,869
경북,2020-12-27,34,1790
전남,2020-12-27,5,456
전북,2020-12-27,8,530
충남,2020-12-27,58,1057
충북,2020-12-27,24,544
강원,2020-12-27,23,774
경기,2020-12-27,241,9463
세종,2020-12-27,6,125
울산,2020-12-27,1,375
대전,2020-12-27,8,646
광주,2020-12-27,17,803
인천,2020-12-27,61,1802
대구,2020-12-27,21,7184
부산,2020-12-27,40,1206
서울,2020-12-27,362,9589
검역,2020-12-26,10,1676
제주,2020-12-26,24,126
경남,2020-12-26,22,847
경북,2020-12-26,34,1762
전남,2020-12-26,6,455
전북,2020-12-26,37,515
충남,2020-12-26,61,1021
충북,2020-12-26,38,521
강원,2020-12-26,36,766
경기,2020-12-26,255,9350
세종,2020-12-26,1,125
울산,2020-12-26,8,375
대전,2020-12-26,11,625
광주,2020-12-26,28,802
인천,2020-12-26,55,1750
대구,2020-12-26,13,7169
부산,2020-12-26,27,1167
서울,2020-12-26,466,9480
검역,2020-12-25,6,1661
제주,2020-12-25,20,118
경남,2020-12-25,15,834
경북,2020-12-25,67,1758
전남,2020-12-25,5,454
전북,2020-12-25,14,495
충남,2020-12-25,80,1015
충북,2020-12-25,42,516
강원,2020-12-25,14,754
경기,2020-12-25,263,9192
세종,2020-12-25,1,124
울산,2020-12-25,12,366
대전,2020-12-25,13,622
광주,2020-12-25,36,795
인천,2020-12-25,55,1726
대구,2020-12-25,23,7155
부산,2020-12-25,22,1143
서울,2020-12-25,552,9320
검역,2020-12-24,11,1661
